#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2422 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:58 out:58 type:B dur:2 cpbdur:2 q:17.21 aq:10.32 tex:61942 mv:16927 misc:3187 imb:64 pmb:1800 smb:6296 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:17.03 aq:11.27 tex:28199 mv:13164 misc:3533 imb:45 pmb:1578 smb:6537 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:17.39 aq:11.80 tex:26515 mv:12703 misc:3446 imb:35 pmb:1530 smb:6595 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:18.50 aq:7.54 tex:243702 mv:21793 misc:1313 imb:367 pmb:2235 smb:5558 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:18.04 aq:10.52 tex:53268 mv:17618 misc:3146 imb:75 pmb:1811 smb:6274 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:17.81 aq:12.32 tex:23417 mv:12209 misc:3382 imb:30 pmb:1485 smb:6645 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:18.27 aq:12.38 tex:23316 mv:12598 misc:3526 imb:24 pmb:1548 smb:6588 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:19.21 aq:8.47 tex:218549 mv:21938 misc:1313 imb:381 pmb:2199 smb:5580 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:18.86 aq:12.27 tex:48474 mv:18307 misc:3035 imb:66 pmb:1881 smb:6213 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:18.68 aq:12.53 tex:23087 mv:13306 misc:3423 imb:42 pmb:1548 smb:6570 d:- ref:0 ;
